zip,lat,lon,city,county,state house dist,state senate dist,congressional dist,population
54082,45.06804,-92.749369,Houlton,St. Croix County,Assembly District 30,State Senate District 10,WI7,1655
54610,44.346721,-91.836481,Alma,Buffalo County,Assembly District 92,State Senate District 31,WI3,1649
54234,45.178293,-87.101748,Sister Bay,Door County,Assembly District 1,State Senate District 1,WI8,1644
54856,46.43523,-91.05991,Mason,Bayfield County,Assembly District 74,State Senate District 25,WI7,1637
54644,44.021422,-91.03295,Mindoro,La Crosse County,Assembly District 94,State Senate District 32,WI3,1621
54156,45.63524,-87.99095,Pembine,Marinette County,Assembly District 36,State Senate District 12,WI8,1616
54204,44.752379,-87.625888,Brussels,Door County,Assembly District 1,State Senate District 1,WI8,1608
54475,44.474097,-89.795501,Rudolph,Wood County,Assembly District 70,State Senate District 24,WI3,1575
54227,44.276554,-87.801651,Maribel,Manitowoc County,Assembly District 2,State Senate District 1,WI6,1561
54491,45.248003,-88.803154,White Lake,Langlade County,Assembly District 36,State Senate District 12,WI7,1555
54870,45.73714,-91.775875,Sarona,Washburn County,Assembly District 75,State Senate District 25,WI7,1548
54424,45.272303,-89.086848,Deerbrook,Langlade County,Assembly District 35,State Senate District 12,WI7,1531
53057,43.82638,-88.24621,Mount Calvary,Fond Du Lac County,Assembly District 59,State Senate District 20,WI6,1515
54974,43.775697,-88.659504,Rosendale,Fond Du Lac County,Assembly District 53,State Senate District 18,WI6,1510
53079,43.82277,-88.16704,Saint Cloud,Fond Du Lac County,Assembly District 59,State Senate District 20,WI6,1508
54977,44.451051,-89.146915,Scandinavia,Waupaca County,Assembly District 40,State Senate District 14,WI8,1502
53510,42.73611,-90.33429,Belmont,Lafayette County,Assembly District 51,State Senate District 17,WI2,1482
54407,44.46886,-89.31261,Amherst Junction,Portage County,Assembly District 71,State Senate District 24,WI3,1468
54621,43.65775,-91.09652,Chaseburg,Vernon County,Assembly District 96,State Senate District 32,WI3,1466
54805,45.4169,-92.03296,Almena,Barron County,Assembly District 75,State Senate District 25,WI7,1461
54759,44.509108,-92.131821,Pepin,Pepin County,Assembly District 93,State Senate District 31,WI3,1454
54651,43.696538,-90.548053,Ontario,Vernon County,Assembly District 96,State Senate District 32,WI3,1453
53924,43.46358,-90.28225,Cazenovia,Richland County,Assembly District 51,State Senate District 17,WI3,1437
54896,45.832746,-91.014362,Winter,Sawyer County,Assembly District 87,State Senate District 29,WI7,1427
54624,43.480668,-91.133309,De Soto,Vernon County,Assembly District 96,State Senate District 32,WI3,1422
54480,45.07691,-90.31514,Stetsonville,Taylor County,Assembly District 87,State Senate District 29,WI7,1410
53518,43.19665,-90.56485,Blue River,Grant County,Assembly District 49,State Senate District 17,WI3,1393
53577,43.293776,-90.022327,Plain,Sauk County,Assembly District 51,State Senate District 17,WI2,1387
54531,45.74835,-89.821598,Hazelhurst,Oneida County,Assembly District 34,State Senate District 12,WI7,1383
54749,44.947538,-92.07521,Knapp,Dunn County,Assembly District 29,State Senate District 10,WI3,1380
53930,43.6866,-89.483441,Endeavor,Marquette County,Assembly District 42,State Senate District 14,WI6,1373
54547,46.143746,-90.110725,Mercer,Iron County,Assembly District 74,State Senate District 25,WI7,1365
54965,44.155967,-89.02096,Pine River,Waushara County,Assembly District 40,State Senate District 14,WI6,1352
54213,44.722418,-87.528122,Forestville,Door County,Assembly District 1,State Senate District 1,WI8,1347
54626,43.220573,-91.034135,Eastman,Crawford County,Assembly District 96,State Senate District 32,WI3,1340
54721,44.602774,-92.062219,Arkansaw,Pepin County,Assembly District 93,State Senate District 31,WI3,1334
54209,45.012261,-87.266031,Egg Harbor,Door County,Assembly District 1,State Senate District 1,WI8,1326
54659,44.291449,-91.087671,Taylor,Jackson County,Assembly District 92,State Senate District 31,WI3,1322
54876,45.821216,-91.462771,Stone Lake,Sawyer County,Assembly District 87,State Senate District 29,WI7,1317
54979,43.839613,-88.543924,Van Dyne,Fond Du Lac County,Assembly District 53,State Senate District 18,WI6,1312
53826,43.110147,-90.957097,Wauzeka,Crawford County,Assembly District 96,State Senate District 32,WI3,1308
54541,45.561723,-88.706496,Laona,Forest County,Assembly District 36,State Senate District 12,WI7,1307
54422,44.95525,-90.43458,Curtiss,Clark County,Assembly District 69,State Senate District 23,WI7,1306
54888,45.966368,-91.886372,Trego,Washburn County,Assembly District 73,State Senate District 25,WI7,1303
54202,45.077002,-87.14603,Baileys Harbor,Door County,Assembly District 1,State Senate District 1,WI8,1292
54762,45.262353,-91.992842,Prairie Farm,Barron County,Assembly District 75,State Senate District 25,WI7,1269
54420,44.606893,-90.375852,Chili,Clark County,Assembly District 69,State Senate District 23,WI7,1268
53569,43.031263,-90.492475,Montfort,Grant County,Assembly District 49,State Senate District 17,WI3,1267
54539,45.775685,-89.574808,Lake Tomahawk,Oneida County,Assembly District 34,State Senate District 12,WI7,1265
54566,45.443574,-88.619413,Wabeno,Forest County,Assembly District 36,State Senate District 12,WI7,1259
54932,43.832253,-88.582166,Eldorado,Fond Du Lac County,Assembly District 53,State Senate District 18,WI6,1256
54864,46.594249,-91.815333,Poplar,Douglas County,Assembly District 73,State Senate District 25,WI7,1249
54459,45.451541,-90.287732,Ogema,Price County,Assembly District 74,State Senate District 25,WI7,1238
53911,43.336846,-89.36061,Arlington,Columbia County,Assembly District 42,State Senate District 14,WI6,1237
54511,45.711791,-88.810386,Argonne,Forest County,Assembly District 34,State Senate District 12,WI7,1233
53808,42.62722,-90.59207,Dickeyville,Grant County,Assembly District 49,State Senate District 17,WI3,1226
53550,42.564434,-89.507906,Juda,Green County,Assembly District 45,State Senate District 15,WI2,1220
54488,44.840956,-90.257456,Unity,Marathon County,Assembly District 69,State Senate District 23,WI7,1216
53046,43.153279,-88.164427,Lannon,Waukesha County,Assembly District 22,State Senate District 8,WI5,1213
53803,42.554499,-90.350817,Benton,Lafayette County,Assembly District 51,State Senate District 17,WI2,1211
54529,45.690115,-89.663974,Harshaw,Oneida County,Assembly District 34,State Senate District 12,WI7,1200
